product_name,product_brand,expire_date,product_code
3 IN 1 PREMIX WHITE COFFEE (DURIAN FLAVOUR),ARMADA IMPRESIF RESOURCES SDN. BHD.,"
		31.05.2019",
3 IN 1 PREMIX WHITE COFFEE (HAZELNUT FLAVOUR),ARMADA IMPRESIF RESOURCES SDN. BHD.,"
		31.05.2019",
3 IN 1 PREMIX WHITE COFFEE (ORIGINAL FLAVOUR),ARMADA IMPRESIF RESOURCES SDN. BHD.,"
		31.05.2019",
3 IN 1 ROASTED PREMIX COFFEE (COFIBAR),COFIBAR SDN BHD ,"
		31.07.2019",
3 IN 1 WHITE COFFEE,COFFEE TOWN SDN BHD,"
		30.09.2019",
35G DOKEBI,ANGEL CANDIES SDN BHD,"
		31.10.2019",
35G LOVE SWEET COUPLE,ANGEL CANDIES SDN BHD,"
		31.10.2019",
35G MIX THEME,ANGEL CANDIES SDN BHD,"
		31.10.2019",
4 IN 1 DURIAN WHITE COFFEE (COFIBAR),COFIBAR SDN BHD ,"
		31.07.2019",
5B DOKEBI  ,ANGEL CANDIES SDN BHD,"
		31.10.2019",
5B EMOJI,ANGEL CANDIES SDN BHD,"
		31.10.2019",
5B EXO 1,ANGEL CANDIES SDN BHD,"
		31.10.2019",
5B EXO 2,ANGEL CANDIES SDN BHD,"
		31.10.2019",
5B KLIA2,ANGEL CANDIES SDN BHD,"
		31.10.2019",
5B KRUNKIE,ANGEL CANDIES SDN BHD,"
		31.10.2019",
5B MALAYSIA LIFESTYLE,ANGEL CANDIES SDN BHD,"
		31.10.2019",
5B MELAKA,ANGEL CANDIES SDN BHD,"
		31.10.2019",
5B PENANG,ANGEL CANDIES SDN BHD,"
		31.10.2019",
5B SABAH,ANGEL CANDIES SDN BHD,"
		31.10.2019",
8086 NTL GOLD WHEY VANILLA FLAVOUR,UNO NUTRITION SDN BHD,"
		31.12.2020",
ABOK-ABOK,RAHMAT VENTURE SDN BHD,"
		15.07.2019",
ACAR LIMAU,AINONS CAKES & PASTRIES,"
		15.02.2020",
ACAR RAMPAI(WAREHOUSE/FUNCTION),TARBUSH CATERING & FOOD INDUSTRY SDN. BHD.,"
		",
ACAR SAUCE,SAUCE EMPIRE MANUFACTURING SDN BHD,"
		15.02.2020",
ACAR/JELATAH(WAREHOUSE/FUNCTION),TARBUSH CATERING & FOOD INDUSTRY SDN. BHD.,"
		",
ACETIC ACID,KONG LONG HUAT CHEMICALS SDN BHD,"
		31.01.2020",
ADDAS SOUP-WAREHOUSE,TARBUSH CATERING & FOOD INDUSTRY SDN. BHD.,"
		",
ADEKA COOKING OIL FRY TOP ,FOCAL MARKETING SDN. BHD.,"
		31.10.2019",
AGAR AGAR POWDER,360HORIZONZ SDN. BHD.,"
		31.10.2019",
AGAR AGAR POWDER ORIGINAL,SRI NONA FOOD INDUSTRIES SDN. BHD.,"
		",
AGAR AGAR POWDER ORIGINAL,SRI NONA FOOD INDUSTRIES SDN. BHD.,"
		15.04.2021",
AGAR AGAR POWDER- RED,SRI NONA FOOD INDUSTRIES SDN. BHD.,"		",
AGAR AGAR POWDER- RED,SRI NONA FOOD INDUSTRIES SDN. BHD.,"
		15.04.2021",
AGAR STRIPES (AGAR-AGAR),360HORIZONZ SDN. BHD.,"
		31.05.2019",
AGAR-AGAR POWDER- GREEN,SRI NONA FOOD INDUSTRIES SDN. BHD.,"		",
AGAR-AGAR POWDER- GREEN,SRI NONA FOOD INDUSTRIES SDN. BHD.,"
		15.04.2021",
AIR MINUMAN,KONSORTIUM ABASS SDN BHD,"
		15.09.2019",
AIR MINUMAN BERBUNGKUS (IONIZED ALKALINE),WORLD PROMINENCE SDN. BHD.,"
		30.06.2020",
AIR MINUMAN BERBUNGKUS (REVERSE OSMOSIS ),WORLD PROMINENCE SDN. BHD.,"
		30.06.2020",
AKOK,RAHMAT VENTURE SDN BHD,"
		15.07.2019",
ALFALFA (50G/PKT),VEGE READY SDN BHD,"
		15.08.2019",
ALICIER,PROFOUND PASTRY SDN. BHD.,"
		30.04.2021",
ALL PURPOSE SEASONING BBQ ORIGINAL,MALAY SPICES ENTERPRISE SDN BHD,"
		",
ALL PURPOSE SEASONING BLACK PEPPER ,MALAY SPICES ENTERPRISE SDN BHD,"
		",
